Records/eventVersion,Records/userIdentity/type,Records/userIdentity/principalId,Records/userIdentity/arn,Records/userIdentity/accountId,Records/userIdentity/accessKeyId,Records/userIdentity/userName,Records/userIdentity/sessionContext/attributes/mfaAuthenticated,Records/userIdentity/sessionContext/attributes/creationDate,Records/eventTime,Records/eventSource,Records/eventName,Records/awsRegion,Records/sourceIPAddress,Records/userAgent,Records/requestParameters/onlyAttached,Records/requestParameters/marker,Records/requestParameters/maxItems,Records/responseElements,Records/requestID,Records/eventID,Records/readOnly,Records/eventType,Records/managementEvent,Records/eventCategory,Records/recipientAccountId,Records/requestParameters/userName,Records/requestParameters/serviceName,Records/errorCode,Records/errorMessage,Records/responseElements/isTruncated,Records/requestParameters/policyArn,Records/requestParameters/groupName,Records/requestParameters/aggregateField,Records/requestParameters/filter/eventStatusCodes/0,Records/requestParameters/filter/eventStatusCodes/1,Records/requestParameters/filter/startTimes/0/from,Records/requestParameters,Records/responseElements/ConsoleLogin,Records/additionalEventData/LoginTo,Records/additionalEventData/MobileVersion,Records/additionalEventData/MFAUsed
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:43Z,iam.amazonaws.com,ListPolicies,us-east-1,173.180.0.13,console.amazonaws.com,false,AAtLHJ87v5QGljjiwwCiwyNzfQP0EBeq8CCcUr7GnkvEfEDKBwME6yqMWNg5HYCgmNhOf7hw53oNFsXCAk026aVLzeq7nTPYzEAjoobgeKwA6Q==,200,,177fd351-fafa-4fc8-96e9-912b890e8070,4fda9856-6ea8-4620-823f-b44a245156bf,true,AwsApiCall,true,Management,824092501282,,,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:43Z,iam.amazonaws.com,ListPolicies,us-east-1,173.180.0.13,console.amazonaws.com,false,ADLo6JH9JdVdokVvzqzCmeTNawavtdbS2mq1kM9y+q2ngPGaI3HxxKncezxvtTPgV1QwKkR8KjKBlnKfxvSgQzv6VMizOxXCG7BEfNbEdx11Vw==,200,,9e109d30-8c49-4937-9139-40da018149a6,5bcb5499-65b0-4744-b88b-99deebddcf8d,true,AwsApiCall,true,Management,824092501282,,,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:43Z,iam.amazonaws.com,ListPolicies,us-east-1,173.180.0.13,console.amazonaws.com,false,ACKQkQdxJnzsyxSohjHm3OODDJ1rjw0IVPicdAJqEVsbbrHvJRxyvjwKqtVXwjFrmGsDVVfGUlnwDX4GOrQV+6I6Pw/Hv6tRU31RWCWYFPA8yA==,200,,74413870-072f-40a7-9884-454adf9c332a,d5860e37-7948-42bd-b66a-ae7ad235b278,true,AwsApiCall,true,Management,824092501282,,,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:43Z,iam.amazonaws.com,ListPolicies,us-east-1,173.180.0.13,console.amazonaws.com,false,AARv3wN+/i9Rd3a1Lq1FSH9PHl38XWKJ/BxDRyxp4Vx7pNt67ZQXt4YmHE1TqolScXszJBXAdr2H/CgEqHd5pSrYNdyvS3ccZGQVg4ATIA/g3Q==,200,,2b4c7f10-3643-4ab4-a2c3-9e777e0a1e95,a2756afe-3884-44f3-bea9-abedbd45f6fa,true,AwsApiCall,true,Management,824092501282,,,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:39Z,iam.amazonaws.com,ListMFADevices,us-east-1,173.180.0.13,console.amazonaws.com,,,,,f299326f-0319-41fa-b0c5-334d4eadcd60,d25bff44-0127-47ae-8998-d137bc5bb3b3,true,AwsApiCall,true,Management,824092501282,Accountant,,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:39Z,iam.amazonaws.com,DeleteUser,us-east-1,173.180.0.13,console.amazonaws.com,,,,,7d774dd2-68c5-46c7-b9a3-a0519402fb5f,bd65662e-efdf-4134-ba44-f3151e50b849,false,AwsApiCall,true,Management,824092501282,Accountant,,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:39Z,iam.amazonaws.com,ListServiceSpecificCredentials,us-east-1,173.180.0.13,console.amazonaws.com,,,,,0e66ea1f-f02d-47c0-8fc3-bbef0043a096,ca010d2a-9609-4074-a068-8401b84fa6b6,true,AwsApiCall,true,Management,824092501282,Accountant,codecommit.amazonaws.com,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:39Z,iam.amazonaws.com,ListServiceSpecificCredentials,us-east-1,173.180.0.13,console.amazonaws.com,,,,,0b87ca94-5128-414e-8fac-ba1c6c397873,157b56ff-40a3-4220-9592-fe07afb159b1,true,AwsApiCall,true,Management,824092501282,Accountant,cassandra.amazonaws.com,,,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:39Z,iam.amazonaws.com,ListGroupsForUser,us-east-1,173.180.0.13,console.amazonaws.com,,,1000,,e658b4da-8f01-4444-876d-89bf0decf5fb,d2434864-5f87-4406-80bb-74bf21f84379,true,AwsApiCall,true,Management,824092501282,CloudTrail,,NoSuchEntityException,The user with name CloudTrail cannot be found.,,,,,,,,,,,,
1.08,Root,824092501282,arn:aws:iam::824092501282:root,824092501282,ASIA37X55UURIXGECLET,udacity-cloud-architect,false,2021-03-26T02:53:14Z,2021-03-26T02:53:39Z,iam.amazonaws.com,GetUser,us-east-1,173.180.0.13,console.amazonaws.com,,,,,6ed74dea-c16b-4fd9-b6bd-353daf22a1cc,25e70e6b-5910-4a82-acd9-e6b11f17d7e5,true,AwsApiCall,true,Management,824092501282,CloudTrail,,NoSuchEntityException,The user with name CloudTrail cannot be found.,,,,,,,,,,,,
